date,retweets,favorites,text,permalink
08/27/18,0,0,"Hi, Chris. Yes, that train encountered mechanical problems which caused a smoke condtion. We took that train out of service and sent it in for maintenance. ^JL",https://twitter.com/NYCTSubway/status/1034067854952415232
08/27/18,0,0,"Sorry for the inconvenience, Mike. That train had to be discharged because of a mechanical problem that made it unsafe for service. We know this is not ideal, but for safety reasons, we have to send that train in for maintenance.^JL",https://twitter.com/NYCTSubway/status/1034064340704546817
08/27/18,0,0,The @ NYCTSubway account says this was a “train with mechanical problems” that had “smoke issuing from it” but my gf got out of there and saw fire trucks en route,https://twitter.com/sokane1/status/1034064305874976769
08/27/18,0,1,Yes mechanical problems @ NYCTSubway pic.twitter.com/paMQya9XkN,https://twitter.com/_bbburcu/status/1034062895129264128
08/27/18,4,3,Northbound N and R trains are running express from 36 St (Bklyn) to Atlantic Av-Barclays Ctr because of a train with mechanical problems at Union St.,https://twitter.com/NYCTSubway/status/1034061384043192320
08/26/18,0,1,"HI. It actually isn't an increase in brakes automatically being activated. It's simply a more transparent way that we're informing our customers. We've previously used the term mechanical problems"" instead to generalize incidents.1/2 ^GES""",https://twitter.com/NYCTSubway/status/1033923515848843264
08/26/18,0,0,"Hi Jeremy. We had a train with mechanical problems at Times Square, service has resumed, we apologize for any inconvenience.^EE",https://twitter.com/NYCTSubway/status/1033836330034364417
08/25/18,0,0,We understand your frustration. There was an earlier incident involving a train with mechanical problems at Atlantic Av which lead to delay in service. ^GES,https://twitter.com/NYCTSubway/status/1033545128122703872
08/25/18,6,7,L train service has resumed following an earlier train with mechanical problems at Atlantic Av.,https://twitter.com/NYCTSubway/status/1033539103822950400
08/25/18,0,0,"Good evening Gigi & thank you for the screenshot. Can you tell us which app is this from? Also, there were delays because of a train with mechanical problems at Atlantic Av impact L train service in both directions. Service has resumed.^JG",https://twitter.com/NYCTSubway/status/1033537894663839744
08/25/18,4,7,Some Canarsie-bound L trains will end at Broadway Junction or Myrtle-Wyckoff Avs because of a train with mechanical problems at Atlantic Av.,https://twitter.com/NYCTSubway/status/1033532622981541888
08/25/18,2,3,J train service has resumed following an earlier train with mechanical problems between Canal St and Bowery.,https://twitter.com/NYCTSubway/status/1033217299866677248
08/25/18,2,3,Metropolitan Av bound J trains are running with delays because of a train with mechanical problems between Canal St and Bowery.,https://twitter.com/NYCTSubway/status/1033214905149784067
08/25/18,0,0,"We apologize for the lack of communication at the station, Rob. A train was taken out of service at 96 St due to a mechanical problem on board. But trains are running all the way up to 135 St. ^RT",https://twitter.com/NYCTSubway/status/1033203213263097856
08/24/18,1,1,7 train service has resumed following an earlier incident involving a train with mechanical problems at Grand Central-42 St.,https://twitter.com/NYCTSubway/status/1033151146137976833
08/24/18,0,0,"Hi, there. Earlier, there was a train experiencing some mechanical problems that was taken out of service at 7 Av. HKD",https://twitter.com/NYCTSubway/status/1033024821318377472
08/23/18,4,3,There is no 5 train service between E 180 St and Dyre Av because of a train with mechanical problems at E 180 St.,https://twitter.com/NYCTSubway/status/1032799063840841728
08/23/18,0,0,Good Evening. There was a train with mechanical problems at Gates Av which caused delays along the line. The train has moved out of the station and service has resumed with delays. ^JZ,https://twitter.com/NYCTSubway/status/1032759333648572421
08/23/18,0,0,Thank you for this information. There was a Jamaica-bound Z train at Gates Av that was experiencing a mechanical problem. The train has moved and service has resumed with delays. ^JZ,https://twitter.com/NYCTSubway/status/1032758448012910592
08/23/18,0,0,Sorry about that. Thanks for letting us know. We'll look into this to see if that particular car has any mechanical problems. ^AM,https://twitter.com/NYCTSubway/status/1032631922499969025
08/23/18,1,1,"All B and Q trains are at a complete standstill because of a single train experiencing mechanical problems. A single stalled train is derailing the morning commute of hundreds, if not thousands of people. What a joke, @ MTA @ NYCTSubway # CuomosMTA",https://twitter.com/ByteForByte/status/1032608808663744512
08/23/18,0,3,F trains have service changes and delays because of a work train with mechanical problems at Bergen St.,https://twitter.com/NYCTSubway/status/1032501939169361920
08/22/18,2,3,Northbound 2 and 3 trains are running local from Chambers St to 96 St because of a train with mechanical problems at South Ferry.,https://twitter.com/NYCTSubway/status/1032429860474552326
08/22/18,1,3,"Update: Forest Hills-bound M and R trains are running express from Jackson Hts-Roosevelt Av to Forest Hills-71 Av while we remove a train with mechanical problems from service at 67 Av. Expect delays on the E, F, M and R train",https://twitter.com/NYCTSubway/status/1032274803909173249
08/22/18,4,2,Forest Hills-bound M and R trains are running with delays while we remove a train with mechanical problems from service at 67 Av.,https://twitter.com/NYCTSubway/status/1032271257536999424
08/21/18,6,8,There is no 1 train service between Chambers St and South Ferry because of a train with mechanical problems at South Ferry.,https://twitter.com/NYCTSubway/status/1032080323155243008
08/21/18,0,0,"Hello, Brooklyn bound A trains are running with delays because of a train with mechanical problems at 175 St. We apologize for any inconvenience.^EE",https://twitter.com/NYCTSubway/status/1032040083984187393
08/21/18,0,0,Good Evening. Dispatch rerouted the train because of an earlier incident involving a train with mechanical problems at 42 St. We do apologize for the inconvenience. ^JZ,https://twitter.com/NYCTSubway/status/1032016645852684289
08/21/18,0,0,Good Evening. Can you tell us your location so we may investigate? There are residual delays because of a train with mechanical problems at 42 St. ^JZ,https://twitter.com/NYCTSubway/status/1032014576500572160
08/21/18,0,0,Good Evening. There are residual delays because of an earlier incident involving a train with mechanical problems at 42 St. We do apologize for the inconvenience. ^JZ,https://twitter.com/NYCTSubway/status/1032012923303018497
08/21/18,0,1,Good Afternoon. There is a train experiencing mechanical problems at 42 St that is being removed from customer service. We are hoping to have service moving shortly. ^JZ,https://twitter.com/NYCTSubway/status/1032008327671283717
